date,MSFT,AAPL,CSCO,ORCL,GOOGL
2005-12-28,-0.002645,-0.008891,0.002319,-0.005668,0.004828
2005-12-29,-0.004547,-0.028816,-0.002898,0.000814,-0.015327
2005-12-30,-0.004568,0.006158,-0.006955,-0.006509,-0.012591
2006-01-03,0.026386,0.039783,0.019276,0.031941,0.049101
2006-01-04,0.004843,0.002943,0.022923,0.001587,0.022999
2006-01-05,0.000742,-0.00787,0.028011,0.013471,0.013476
2006-01-06,-0.002964,0.025814,0.022888,0.025801,0.031956
2006-01-09,-0.001858,-0.003277,0.01545,-0.0183,0.002663
2006-01-10,0.005212,0.063248,-0.004722,-0.020179,0.006125
2006-01-11,0.010741,0.037596,0.022667,-0.001585,0.003981
2006-01-12,-0.005497,0.00466,-0.010309,-0.006349,-0.016962
2006-01-13,0.001842,0.01541,-0.014583,-0.000799,0.005651
2006-01-17,-0.007356,-0.010279,-0.012685,-0.005596,0.001844
2006-01-18,-0.005928,-0.026207,0.002682,-0.008039,-0.047526
2006-01-19,0.007082,-0.041885,0.015478,0.014579,-0.019026
2006-01-20,-0.022576,-0.037275,-0.026814,-0.018363,-0.084741
2006-01-23,-0.002272,0.020778,-0.018909,0.000814,0.070195
2006-01-24,-0.002657,-0.020986,0.009361,-0.00813,0.036328
2006-01-25,0.004566,-0.024198,0.013093,0.02541,-0.02264
2006-01-26,0.003788,-0.025202,0.000539,-0.005596,0.002922
2006-01-27,0.048679,-0.004148,0.010764,-0.002412,-0.001785
2006-01-30,0.007557,0.041233,0.005857,0.016116,-0.015387
2006-01-31,0.005357,0.0068,-0.01694,-0.003172,0.013683
2006-02-01,-0.003908,-0.001192,0.000539,0.000796,-0.071373
2006-02-02,-0.012839,-0.04402,-0.011302,-0.015103,-0.014286
2006-02-03,-0.005058,-0.003509,-0.011976,-0.014528,-0.036575
2006-02-06,-0.013435,-0.063287,-0.017631,0.003276,0.009291
2006-02-07,-0.008465,0.004458,0.014582,0.009796,-0.044612
2006-02-08,-0.001114,0.017899,0.072416,0.016168,0.003153
2006-02-09,-0.00929,-0.056097,0.007732,0.009547,-0.027934
2006-02-10,0.001125,0.036336,0.010742,0.0,0.010703
2006-02-13,-0.01124,-0.038627,-0.010628,-0.01576,-0.046634
2006-02-14,0.009852,0.045356,0.007673,-0.007206,-0.006885
2006-02-15,0.012008,0.023283,0.012183,0.000806,-0.002738
2006-02-16,-0.002604,0.019503,0.002006,0.002417,0.070331
2006-02-17,-0.004103,-0.003968,-0.006006,-0.003215,0.006249
2006-02-21,-0.005993,-0.017214,-0.014099,-0.004839,-0.005858
2006-02-22,0.006782,0.032426,0.004597,0.011345,-0.003001
2006-02-23,-0.002245,0.006029,0.002542,-0.00641,0.03442
2006-02-24,-0.001125,-0.004042,0.006592,0.004839,-0.001772
2006-02-27,0.015772,-0.006577,0.006045,0.0,0.03438
2006-02-28,-0.006654,-0.035216,0.01352,-0.00321,-0.071098
